backdrop_path,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,poster_path,vote_average,vote_count
/rMbHGg9J5jnhuIX0Lkv4r7yZ7QI.jpg,1999-08-30,"[10759, 16]",20992,Sonic Underground,"['FR', 'US']",en,Sonic Underground,"Sonic, Sonia, and Manic are the children of Queen Aleena Hedgehog, the rightful ruler of Mobius, and are pursued relentlessly by Doctor Robotnik and his bumbling bounty hunters sidekicks, Sleet and Dingo. As infants, the siblings were separated and placed in hiding to fulfill a prophecy made by the Oracle of Delphius that the triplets would grow up to find their estranged mother, overthrow Robotnik, and take their places once more as Mobius' rightful rulers.",45.255,/rVjYevHn5RxkIkk4SwNnqIS8LJB.jpg,7,112
,2014-06-29,[],82307,Viva Atata,[],ar,فيفا أطاطا,"The series revolves around the old woman (Ata) who causes problems for herself and those around her, then she enters the prison after being accused of committing a crime, and raises some crises inside the prison and causes many problems for the prison warden, whose daughter suffers from a mental illness that makes her separate from reality and lives with the mentality of a small child, and that she You'll be cured of this psychological knot after meeting Ata Which will tell stories from the past until he is cured.",0.845,,0,0
/1uJaqlVeZ5MQvwCX7TRwf3dIduA.jpg,2014-10-12,[18],61463,The Affair,['US'],en,The Affair,"The Affair explores the emotional effects of an extramarital relationship between Noah Solloway and Alison Lockhart after the two meet in the resort town of Montauk in Long Island. Noah is a New York City schoolteacher with one novel published (book entitled A Person who Visits a Place) and he is struggling to write a second book. He is happily married with four children, but resents his dependence on his wealthy father-in-law. Alison is a young waitress trying to piece her life and marriage back together in the wake of the tragic death of her child. The story of the affair is told separately, complete with distinct memory biases, from the male and female perspectives.",30.305,/8scKJeu6GoxMqpt7UO5aMeU0TOn.jpg,6.6,276
/7Zb9hm24sxz2Mv7BKjyYkr3q0bz.jpg,2015-10-31,"[35, 10759, 10765]",62264,Ash vs Evil Dead,['US'],en,Ash vs Evil Dead,"Bruce Campbell reprises his role as Ash Williams, an aging lothario and chainsaw-handed monster hunter who’s spent the last three decades avoiding maturity, and the terrors of the Evil Dead. But when a Deadite plague threatens to destroy all of mankind, he’s forced to face his demons — both metaphorical and literal.",42.599,/9tNtSk46s3f1ePr59p0JG6uacc8.jpg,7.7,1222
,2012-06-25,[99],55412,I killed my BFF,[],en,I killed my BFF,,1.4,,4.5,2
/7SmW5MO1MIPp5nBxRnPGbLU7fZ0.jpg,2017-01-07,"[18, 9648]",65708,Taboo,"['GB', 'US']",en,Taboo,Adventurer James Keziah Delaney returns to London from Africa in 1814 along with fourteen stolen diamonds to seek vengeance after the death of his father.,43.565,/om1wVOuEtwH3krHutIWO9sJzkS5.jpg,7.9,843
/21cpRlJ8KVvpIqvOPfW66PxSGzT.jpg,2014-04-15,"[80, 18]",60622,Fargo,['US'],en,Fargo,"A close-knit anthology series dealing with stories involving malice, violence and murder based in and around Minnesota.",99.971,/9ZIhl17uFlXCNUputSEDHwZYIEJ.jpg,8.3,1781
/tLwEXm2nG64Tce00d59rPNI8ePh.jpg,2013-01-30,"[80, 18]",46533,The Americans,['US'],en,The Americans,"Set during the Cold War period in the 1980s, The Americans is the story of Elizabeth and Philip Jennings, two Soviet KGB officers posing as an American married couple in the suburbs of Washington D.C. and their neighbor, Stan Beeman, an FBI Counterintelligence agent.",51.904,/qB7WPVQnmODg2mZ1xUmPOrCa0wL.jpg,7.9,629
/gZzIQxo2ukFSdZGtlttA0wI6kax.jpg,2011-06-05,"[10765, 18]",34524,Teen Wolf,['US'],en,Teen Wolf,"Scott McCall, a high school student living in the town of Beacon Hills has his life drastically changed when he's bitten by a werewolf, becoming one himself. He must henceforth learn to balance his problematic new identity with his day-to-day teenage life. The following characters are instrumental to his struggle: Stiles, his best friend; Allison, his love interest who comes from a family of werewolf hunters; and Derek, a mysterious werewolf with a dark past. Throughout the series, he strives to keep his loved ones safe while maintaining normal relationships with them.",309.219,/vY2vfAskJTiWsQSv6bdbNCQhPLm.jpg,8.6,3166
,2008-06-11,[16],62307,"Milly, Molly",[],en,"Milly, Molly","Milly and Molly may look quite different, but they are the best of friends. This charming new series follows the adventures of our two heroines and their friends in a small country town. Exciting, poignant and funny, Milly, Molly celebrates difference and promotes acceptance of diversity. Each episode has a subtle message about values such as honesty, persistence and responsibility, as well as showing life skills like dealing with bullying and forgiveness. Together Milly and Molly always manage to have fun as they face the world and its complexities.",0.6,,0,0
