adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/7gvgpPaDmqPEIMaZTz04Zwhe8dP.jpg,"[9648, 10751, 16, 12, 35]",24615,en,Aloha Scooby-Doo!,"The Mystery Gang goes to Hawaii for the Big Kahuna of Hanahuna Surfing Contest. However, the gang and the locals find the island invaded by the vengeful Wiki Tiki spirit and his demons.",51.313,/26BP556PvenFfypUp10aFFMpQSV.jpg,2005-01-01,Aloha Scooby-Doo!,False,7.2,335
False,/7I5uDeJfST5EgU3yQHpO3ExyBQk.jpg,[18],198185,en,Million Dollar Arm,"In a last-ditch effort to save his career, sports agent JB Bernstein dreams up a wild game plan to find Major League Baseball’s next great pitcher from a pool of cricket players in India. He soon discovers two young men who can throw a fastball but know nothing about the game of baseball. Or America. It’s an incredible and touching journey that will change them all — especially JB, who learns valuable lessons about teamwork, commitment and family.",14.102,/dQlyPJwRuUOJ6Ni0XWfEMrlPTu.jpg,2014-05-09,Million Dollar Arm,False,6.8,512
False,/squEMJDrsY7ooVNFqbTSdIVO4Qh.jpg,"[35, 80]",9932,en,Analyze That,"The mafia's Paul Vitti is back in prison and will need some serious counseling when he gets out. Naturally, he returns to his analyst Dr. Ben Sobel for help and finds that Sobel needs some serious help himself as he has inherited the family practice, as well as an excess stock of stress.",13.526,/q3R6Hno3WFfIkHQg7CeVAEOcHQQ.jpg,2002-12-06,Analyze That,False,5.8,982
False,/g9HtCtdLpYv7C20MMirEbpE628v.jpg,"[16, 28, 80]",862491,en,Catwoman: Hunted,"Catwoman's attempt to steal a priceless jewel puts her squarely in the crosshairs of both a powerful consortium of villains and the ever-resourceful Interpol, not to mention Batwoman.",227.901,/iu01cvxs3eLQzra3YNF1pbpXIZa.jpg,2022-02-07,Catwoman: Hunted,False,5.9,36
False,/mWzgMPlQcFZ6lZ449673LS2aCHX.jpg,"[10751, 16, 28, 878]",251768,en,JLA Adventures: Trapped in Time,"Get ready for a battle of the ages when the Justice League faces off against its archenemies, the Legion of Doom, in an all-new movie from DC Comics. A mysterious being known as the Time Trapper arises, and a sinister plan led by Lex Luthor sends the Legion of Doom back in time to eliminate Superman, Wonder Woman and Batman before they become super heroes. For Aquaman, Flash and Cyborg, along with teen super heroes Karate Kid and Dawnstar, the stakes have never been higher, the rescue mission never deadlier. So join the fight for the future as the Justice League confronts its ultimate challenge… the threat of having never existed!",26.507,/bm8LNDoKWWPnDTEAxJ6VrlPHWub.jpg,2014-01-21,JLA Adventures: Trapped in Time,False,6.7,163
False,/1RAxtBxslR4OZCZC1vxIRUxjR7a.jpg,"[9648, 12, 35]",9637,en,Scooby-Doo,"The Mystery Inc. gang have gone their separate ways and have been apart for two years, until they each receive an invitation to Spooky Island. Not knowing that the others have also been invited, they show up and discover an amusement park that affects young visitors in very strange ways.",150.745,/98zsG0FX7z6R4i5q0HONLM21dpt.jpg,2002-06-14,Scooby-Doo,False,6,3526
False,/6nh02WC31a5Sg3HqK21JY1nHqFo.jpg,[18],506680,en,Unbroken: Path to Redemption,"Zamperini returns to California where he wound up marrying Cynthia Applewhite while wrestling with untreated PTSD, suffering constant nightmares, angry, bitter and deeply depressed, his wife convinces Zamperini to attend the 1949 Billy Graham Crusade.",130.113,/x0anYeapUCJFjYmTaDHP00CaYEB.jpg,2018-09-14,Unbroken: Path to Redemption,False,6.9,101
False,/nVOTbGAoR1DSNCsAGjeDHFgiKN2.jpg,"[53, 80, 28]",11808,en,U.S. Marshals,"U.S. Marshal Sam Gerard is accompanying a plane load of convicts from Chicago to New York. The plane crashes spectacularly, and Mark Sheridan escapes. But when Diplomatic Security Agent John Royce is assigned to help Gerard recapture Sheridan, it becomes clear that Sheridan is more than just another murderer.",24.872,/5ST0BydDSXtW5AtfDDhTVS13pTt.jpg,1998-03-06,U.S. Marshals,False,6.5,1216
False,/iovi35nPfjbYTw2gRo7uImWblRU.jpg,"[18, 10749]",345920,en,Collateral Beauty,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",43.545,/4jfwP5Nc6WB5G7HvCnv3GQGzsH2.jpg,2016-12-06,Collateral Beauty,False,7.3,4843
False,/4fU2ddunguMjxWK0oWdUfKES9Qo.jpg,"[28, 35]",5851,en,Showtime,A spoof of buddy cop movies where two very different cops are forced to team up on a new reality based T.V. cop show.,16.404,/8sIooUxXZo2blCVuAYbL2wkdUfD.jpg,2002-03-14,Showtime,False,5.5,779
False,/zp49zf9Ox33BAXrWYKJ0oBQvDmI.jpg,"[18, 53]",121789,en,At Any Price,"Set in the competitive world of modern agriculture, ambitious Henry Whipple wants his rebellious son Dean to help expand his family’s farming empire. However, Dean has his sights set on becoming a professional race car driver. When a high-stakes investigation into their business is exposed, father and son are pushed into an unexpected situation that threatens the family's entire livelihood.",10.156,/xn4eRVG2749Hqh9v8tbcdLMdd2p.jpg,2012-08-30,At Any Price,False,5.3,187
