adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/y2QZ8qCE4YWHo5hGYos26Jy5Req.jpg,[18],39486,en,Secretariat,"Housewife and mother Penny Chenery agrees to take over her ailing father's Virginia-based Meadow Stables, despite her lack of horse-racing knowledge. Against all odds, Chenery - with the help of veteran trainer Lucien Laurin - manages to navigate the male-dominated business, ultimately fostering the first Triple Crown winner in 25 years.",16.272,/9bpAR3ALEfaqosxbi9zpuv9FH7F.jpg,2010-08-20,Secretariat,False,7.4,449
False,/pyHBqcp0EfzcKpRSXkvn6qfnO4k.jpg,"[18, 878, 10752]",281338,en,War for the Planet of the Apes,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",58.006,/ijQHiImv16vNSeZQsmih04kwn0C.jpg,2017-07-11,War for the Planet of the Apes,False,7.1,7203
False,/jI3yYyIxwdDoMEJ23s87mFI5W7Y.jpg,"[35, 18, 10749]",6615,en,Lars and the Real Girl,"Extremely shy Lars finds it impossible to make friends or socialize. His brother and sister-in-law worry about him, so when he announces that he has a girlfriend he met on the Internet, they are overjoyed. But Lars' new lady is a life-size plastic woman. On the advice of a doctor, his family and the rest of the community go along with his delusion.",12.572,/nkAt4a7KIPc7Fi1BhxNHhYYbe2b.jpg,2007-10-12,Lars and the Real Girl,False,7.1,1360
False,/7dzngS8pLkGJpyeskCFcjPO9qLF.jpg,"[28, 53]",245891,en,John Wick,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,68.789,/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,2014-10-22,John Wick,False,7.4,15397
False,/ypyz71O2YtI5rdJ7Y3s03SwwORQ.jpg,"[10752, 28, 36, 53]",339259,en,The Man with the Iron Heart,"With the Third Reich at its peak in 1942, the Czech resistance in London plans the most ambitious military operation of WWII –  Anthropoid. Two young recruits are sent to Prague to assassinate the most ruthless Nazi leader – Reinhardt Heydrich, head of the SS, the Gestapo and the architect of the Final Solution.",28.968,/ZVQfCY2DgCjrm8w2saXvT8Ao3B.jpg,2017-05-25,The Man with the Iron Heart,False,6.6,601
False,/vHwrJiFc74Lb8D0Trvdc0v04gRK.jpg,"[18, 36]",22954,en,Invictus,"Newly elected President Nelson Mandela knows his nation remains racially and economically divided in the wake of apartheid. Believing he can bring his people together through the universal language of sport, Mandela rallies South Africa's rugby team as they make their historic run to the 1995 Rugby World Cup Championship match.",17.624,/cNUoXM8dtg5mRt90GLrAHBP9IGE.jpg,2009-12-10,Invictus,False,7.2,3416
False,/i5H7zusQGsysGQ8i6P361Vnr0n2.jpg,"[80, 9648, 53]",807,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",70.709,/69Sns8WoET6CfaYlIkHbla4l7nC.jpg,1995-09-22,Se7en,False,8.3,16637
False,/kJYPag1YrA4PsXIftFdq3QEaanV.jpg,"[12, 28, 53, 878]",605,en,The Matrix Revolutions,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,50.605,/fgm8OZ7o4G1G1I9EeGcb85Noe6L.jpg,2003-11-05,The Matrix Revolutions,False,6.7,7923
False,/kxklJL1v8MYEU5xdU6W5VvmBwVz.jpg,"[14, 12, 16, 10751]",10191,en,How to Train Your Dragon,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",66.012,/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg,2010-03-18,How to Train Your Dragon,False,7.8,10709
False,/jnOa0Re9s62DvuGJG4ZaOfy4sxy.jpg,"[9648, 18, 28, 80]",122800,en,Freelancers,"The son of a slain NYPD officer joins the force, where he falls in with his father's former partner and a team of rogue cops. His new boss, Sarcone, will see if he has what it takes to be rogue through many trials and tribulations of loyalty, trust and respect. When the truth about his father's death is revealed revenge takes him over and he won't stop until justice has been truly served.",12.951,/8jdYImZW75JlZN70A0uzls4uL16.jpg,2012-08-10,Freelancers,False,5.1,164
